Cadet PID,Year,Squadron,Major,Sec Major,Sport Code,Sport Gender
34736,2022,4,No Major,No Major,,
33351,2021,31,Meteor,No Major,,
36969,2023,36,No Major,No Major,,
32504,2020,16,MSS,No Major,,
36970,2023,3,No Major,No Major,FB,M
34243,2021,12,Biology,No Major,,
33352,2021,2,Economics,No Major,,
34737,2022,36,FAS-PolSci,No Major,CL,F
34244,2021,18,FAS-PolSci,No Major,,
31746,2020,7,BehSci,No Major,,
35240,2022,40,Biology,No Major,,
34245,2021,30,BachSci,No Major,,
32030,2022,37,FAS-PolSci,No Major,,
33203,2021,9,GeoSci,No Major,,
32031,2020,13,FAS-MSS,No Major,,
33204,2021,28,Management,No Major,,
36705,2023,36,No Major,No Major,CC,F
37193,2020,14,No Major,No Major,,
36971,2023,33,No Major,No Major,FB,M
36055,2023,32,No Major,No Major,BX,M
32380,2020,26,PolSci,No Major,,
34246,2021,27,CivEngr,No Major,,
32534,2020,7,Management,Economics,,
32032,2020,17,BehSci,No Major,,
34738,2022,11,BehSci,No Major,,
33205,2021,2,Management,No Major,LX,M
34247,2021,21,BehSci,No Major,,
36056,2023,25,No Major,No Major,SO,M
32535,2020,9,BehSci,No Major,,
36973,2023,13,No Major,No Major,,
35241,2022,12,MechEngr,No Major,,
36706,2023,7,No Major,No Major,CC,F
36057,2023,28,No Major,No Major,,
33206,2021,27,CivEngr,No Major,,
36677,2023,3,No Major,No Major,,
33207,2021,22,Biology,No Major,CL,M
33208,2021,3,SysEngr,No Major,,
32935,2020,3,Economics,No Major,,
31747,2020,13,MechEngr,No Major,SO,F
35499,2022,2,CyberSci,No Major,,
36058,2023,28,No Major,No Major,FB,M
33209,2021,12,PolSci,No Major,,
36974,2023,23,No Major,No Major,BB,M
36059,2023,13,No Major,No Major,,
34739,2022,33,GeoSci,No Major,,
33210,2021,22,MechEngr,No Major,,
34740,2022,14,FAS-PolSci,No Major,,
32505,2020,23,AeroEngr,No Major,,
35242,2022,8,AstroEngr,MathApp,,
33211,2021,25,OpsRsch,No Major,,
36061,2023,23,No Major,No Major,,
34742,2022,19,ElCompEngr,No Major,,
33212,2021,31,ElEngr,No Major,,
32033,2020,40,Biology,No Major,,
36975,2023,17,No Major,No Major,TR,F
33213,2021,9,MechEngr,No Major,,
32747,2020,12,CivEngr,No Major,BX,M
33214,2021,32,OpsRsch,No Major,BA,M
33215,2021,38,Biology,No Major,,
33216,2021,9,GeoSci,No Major,,
32536,2020,1,AeroEngr,MechEngr,,
35344,2022,28,No Major,No Major,,
33217,2021,15,AeroEngr,MathApp,,
33218,2021,30,MathApp,No Major,,
33219,2021,35,FAS-PolSci,No Major,,
32034,2020,31,Economics,No Major,,
35244,2022,29,ElCompEngr,No Major,,
36678,2023,14,No Major,No Major,,
33220,2021,40,Management,No Major,,
32673,2020,37,MSS,No Major,,
32035,2020,10,CompSci,No Major,,
32036,2020,32,Economics,No Major,,
33221,2021,39,Management,No Major,,
35245,2022,33,No Major,No Major,,
32037,2020,33,History,No Major,,
32382,2020,32,Management,No Major,TR,M
35500,2022,39,No Major,No Major,,
33010,2020,23,Physics,Humanities,,
